	Date	Twitter Inc.	Apple Inc.	Facebook Inc.	NVIDIA Corp	Amazon.com Inc	Microsoft Corp
316	2015-02-20	49.11	128.983813867	78.84	22.0226022098	380.14	42.6682492767
317	2015-02-19	48.7	129.793805284	79.895	21.8648401165	383.66	42.3228558553
318	2015-02-18	47.82	126.373299363	79.42	21.810609397	378.995	42.0523605428
319	2015-02-17	48.03	125.353490892	76.71	22.0620427331	373.37	42.1006632772
320	2015-02-13	48.5	125.61210261	75.6	21.9979518827	375.43	42.0814786505
321	2015-02-12	47.95	124.748437063	75.74	21.9880917519	381.83	41.3332782095
322	2015-02-11	47.5	124.016517109	76.23	20.5189322582	377.17	40.6522239619
323	2015-02-10	46.26	123.41146328	76.51	20.6569740898	375.14	40.8632548555
324	2015-02-09	47.32	121.869551909	75.19	20.0949466325	372.995	40.6330393352
325	2015-02-06	48.01	119.078497148	74.44	20.1146668941	370.56	40.681000902
326	2015-02-05	41.26	116.833942621	74.47	20.1984780062	374.28	40.7193701553
327	2015-02-04	40.72	116.062986935	75.63	19.8780237542	373.89	40.1342390412
328	2015-02-03	39.79	117.048639141	75.4	19.8287231	364.75	39.9040235209
329	2015-02-02	37.46	116.222367708	74.99	19.3455766893	363.55	39.5970694938
330	2015-01-30	37.53	115.337771232	75.91	18.9363812599	364.47	38.7529459193
331	2015-01-29	36.68	115.318329551	78.0	19.5033387826	354.53	40.2973083681
332	2015-01-28	37.15	113.889366014	76.24	19.0399126336	311.78	39.5107386737
